imgName 	 coralLabel 	 coralStatus 	 AreaPix^2 	 pixTocm 	 AreaCM^2 	CoralsFoundInImage 	 CoralsKeptInImage 	 CoralsRejectedInImage 	 CoralsManuallyAddedToImage 	OriginalImgSize 	 resizeFactor 	 dateSaved 
outputImage	1	Automatically Found	520	250	0.00832	3	3	0	0	1534 x 1024	1	19-May-2017
outputImage	2	Automatically Found	29	250	0.000464	3	3	0	0	1534 x 1024	1	19-May-2017
outputImage	3	Automatically Found	57	250	0.000912	3	3	0	0	1534 x 1024	1	19-May-2017
imgName 	 coralLabel 	 coralStatus 	 AreaPix^2 	 pixTocm 	 AreaCM^2 	CoralsFoundInImage 	 CoralsKeptInImage 	 CoralsRejectedInImage 	 CoralsManuallyAddedToImage 	OriginalImgSize 	 resizeFactor 	 dateSaved 
outputImage	1	Automatically Found	46	38	0.031856	6	1	0	0	1534 x 1024	1	31-May-2017
outputImage	2		16	38	0.01108	6	1	0	0	1534 x 1024	1	31-May-2017
outputImage	3		10	38	0.0069252	6	1	0	0	1534 x 1024	1	31-May-2017
outputImage	4		77	38	0.053324	6	1	0	0	1534 x 1024	1	31-May-2017
outputImage	5		13	38	0.0090028	6	1	0	0	1534 x 1024	1	31-May-2017
outputImage	6		68	38	0.047091	6	1	0	0	1534 x 1024	1	31-May-2017
imgName 	 coralLabel 	 coralStatus 	 AreaPix^2 	 pixTocm 	 AreaCM^2 	CoralsFoundInImage 	 CoralsKeptInImage 	 CoralsRejectedInImage 	 CoralsManuallyAddedToImage 	OriginalImgSize 	 resizeFactor 	 dateSaved 
outputImage	1	Automatically Found	46	50	0.0184	7	1	0	0	1534 x 1024	1	31-May-2017
outputImage	2		21	50	0.0084	7	1	0	0	1534 x 1024	1	31-May-2017
outputImage	3		16	50	0.0064	7	1	0	0	1534 x 1024	1	31-May-2017
outputImage	4		10	50	0.004	7	1	0	0	1534 x 1024	1	31-May-2017
outputImage	5		77	50	0.0308	7	1	0	0	1534 x 1024	1	31-May-2017
outputImage	6		13	50	0.0052	7	1	0	0	1534 x 1024	1	31-May-2017
outputImage	7		68	50	0.0272	7	1	0	0	1534 x 1024	1	31-May-2017
imgName 	 coralLabel 	 coralStatus 	 AreaPix^2 	 pixTocm 	 AreaCM^2 	CoralsFoundInImage 	 CoralsKeptInImage 	 CoralsRejectedInImage 	 CoralsManuallyAddedToImage 	OriginalImgSize 	 resizeFactor 	 dateSaved 
outputImage	1	Automatically Found	46	50	0.0184	7	1	0	0	1534 x 1024	1	31-May-2017
outputImage	2		21	50	0.0084	7	1	0	0	1534 x 1024	1	31-May-2017
